"DULCE CUPCAKES CORP.","BLK 5 LOT 18, A. SANDOVAL AVE. NAGPAYONG, PINAGBUHATAN","RET RETAILER - CAKES, PASTRIES","BLK 5 LOT 18, A. SANDOVAL AVE. NAGPAYONG","PINAGBUHATAN","14.5444526","121.1050612"
"ELECTROSIGN ENGINEERING SERVICES","BLK 5 LOT 2 BOHOL ST. MANGGA 2, NAGPAYONG, PINAGBUHATAN","SER CONSTRUCTION SERVICES","BLK 5 LOT 2 BOHOL ST. MANGGA 2, NAGPAYONG","PINAGBUHATAN","14.5493464","121.099429"
"JOLLIBRONZE STREET FOOD CART","BLK 5 LOT 6 BRONZE ST., CENTENNIAL 1-A, HOA NAGPAYONG 1, PINAGBUHATAN","ES3 ESSENTIAL COMMODITIES - RETAILER","BLK 5 LOT 6 BRONZE ST., CENTENNIAL 1-A, HOA NAGPAYONG 1","PINAGBUHATAN","14.639331","121.1154767"
"KYOTEE COMMERCIAL STALL RENTAL","BLK 6 & 7, LUZVIMINDA HOA NAGPAYONG, PINAGBUHATAN","APT LESSOR COMMERCIAL SPACE","BLK 6 & 7, LUZVIMINDA HOA NAGPAYONG","PINAGBUHATAN","14.5493464","121.099429"
"SABINIANO STORE","BLK 6 ILOILO ST. MANGGA 2 NAGPAYONG, PINAGBUHATAN","FIX CIGARETTE; ES3 ESSENTIAL COMMODITIES - RETAILER; SAR SARI-SARI STORE","BLK 6 ILOILO ST. MANGGA 2 NAGPAYONG","PINAGBUHATAN","14.5493464","121.099429"
"JBS88 TRADING","BLK 6 LOT 2 IRENEO ST. SUAREZVILLE, PINAGBUHATAN","RET TRADING","BLK 6 LOT 2 IRENEO ST. SUAREZVILLE","PINAGBUHATAN","14.5606976","121.0899391"
"T.Y.A APARTMENT","BLK 6 LOT 2 PHASE 1-B, GREENWOODS AVENUE, PINAGBUHATAN","APT LESSOR - APARTMENT RESIDENTIAL","BLK 6 LOT 2 PHASE 1-B, GREENWOODS AVENUE","PINAGBUHATAN","14.5624692","121.098886"
"PERA TAPSIHAN","BLK 6 LOT 3, KAUNLARAN HOMES, NAGPAYONG 2, PINAGBUHATAN","CAR TAPSIHAN","BLK 6 LOT 3, KAUNLARAN HOMES, NAGPAYONG 2","PINAGBUHATAN","14.5404803","121.1027318"
"A.B.C.D REALTY SERVICES","BLK 7 LOT 16, ITALY ST VILLA RAYMUNDO CENTENNIAL 2 NAGPAYONG, PINAGBUHATAN","APT REALTY","BLK 7 LOT 16, ITALY ST VILLA RAYMUNDO CENTENNIAL 2 NAGPAYONG","PINAGBUHATAN","14.5437669","121.1006209"
"JJV TRADING","BLK 7 LOT 2 SIKAT ARAW NAGPAYONG, PINAGBUHATAN","RET RETAILER","BLK 7 LOT 2 SIKAT ARAW NAGPAYONG","PINAGBUHATAN","14.5431685","121.1034268"
"J&K COURIER SERVICES","BLK 7 LOT 5 SAN ISIDRO ST., CENTENNIAL 2  NAGPAYONG 1, PINAGBUHATAN","SER TRANSPORT SERVICES","BLK 7 LOT 5 SAN ISIDRO ST., CENTENNIAL 2  NAGPAYONG 1","PINAGBUHATAN","14.5493464","121.099429"
"PATCHI'S MEAT SHOP","BLK 7 LUZVIMINDA HOA, EUSEBIO AVENUE NAGPAYONG 2, PINAGBUHATAN","RET MEAT RETAILER","BLK 7 LUZVIMINDA HOA, EUSEBIO AVENUE NAGPAYONG 2","PINAGBUHATAN","14.543632","121.106158"
"FOODPOLITICS FOOD STALL","BLK 8 KALAYAAN AVE. BLK 34, KENNETH BORDERLINE, PINAGBUHATAN","RET FOOD STALL","BLK 8 KALAYAAN AVE. BLK 34, KENNETH BORDERLINE","PINAGBUHATAN","14.5375677","121.1047555"
"PKH POULTRY FARM","BLK 8 LOT 1, LUZVIMINDA HOA, NAGPAYONG 2, PINAGBUHATAN","RET RETAILER","BLK 8 LOT 1, LUZVIMINDA HOA, NAGPAYONG 2","PINAGBUHATAN","14.5493464","121.099429"
"CHERVIN'S FOOD SERVICES","BLK 8 LOT 12 CDE COMP., PAG-IBIG HOMES, PINAGBUHATAN","SER SERVICES (FOOD)","BLK 8 LOT 12 CDE COMP., PAG-IBIG HOMES","PINAGBUHATAN","14.5569678","121.097942"
